,news_source,"NewsGuard, Does not repeatedly publish false content","NewsGuard, Gathers and presents information responsibly","NewsGuard, Regularly corrects or clarifies errors","NewsGuard, Handles the difference between news and opinion responsibly","NewsGuard, Avoids deceptive headlines","NewsGuard, Website discloses ownership and financing","NewsGuard, Clearly labels advertising","NewsGuard, Reveals who's in charge, including any possible conflicts of interest","NewsGuard, Provides information about content creators","NewsGuard, score","NewsGuard, overall_class","Pew Research Center, known_by_40%","Pew Research Center, total","Pew Research Center, consistently_liberal","Pew Research Center, mostly_liberal","Pew Research Center, mixed","Pew Research Center, mostly conservative","Pew Research Center, consistently conservative","Wikipedia, is_fake","Open Sources, reliable","Open Sources, fake","Open Sources, unreliable","Open Sources, bias","Open Sources, conspiracy","Open Sources, hate","Open Sources, junksci","Open Sources, rumor","Open Sources, blog","Open Sources, clickbait","Open Sources, political","Open Sources, satire","Open Sources, state","Media Bias / Fact Check, label","Media Bias / Fact Check, factual_reporting","Media Bias / Fact Check, extreme_left","Media Bias / Fact Check, right","Media Bias / Fact Check, extreme_right","Media Bias / Fact Check, propaganda","Media Bias / Fact Check, fake_news","Media Bias / Fact Check, some_fake_news","Media Bias / Fact Check, failed_fact_checks","Media Bias / Fact Check, conspiracy","Media Bias / Fact Check, pseudoscience","Media Bias / Fact Check, hate_group","Media Bias / Fact Check, anti_islam","Media Bias / Fact Check, nationalism","Allsides, bias_rating","Allsides, community_agree","Allsides, community_disagree","Allsides, community_label","BuzzFeed, leaning","PolitiFact, Pants on Fire!","PolitiFact, False","PolitiFact, Mostly False","PolitiFact, Half-True","PolitiFact, Mostly True","PolitiFact, True"
0,21stCenturyWire,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,conspiracy_pseudoscience,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,,,,,,
1,Al Jazeera,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,52.0,0.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,2204.0,3249.0,somewhat disagree,,0.0,1.0,0.0,0.0,0.0,0.0
2,Alternet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.5,1.0,,,,,,,,,2.0,,,,,,,,,,1.0,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,1314.0,595.0,strongly agree,left,,,,,,
3,BBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,7527.0,7177.0,somewhat agree,,,,,,,
4,BBC UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bipartisan Report,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17.5,0.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,questionable_source,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,0.0,1.0,0.0,0.0,0.0,0.0
6,Birmingham Mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_center_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
7,Breitbart,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,57.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,,,,2.0,3.0,,,,,,,1.0,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Right,11911.0,6546.0,agree,right,2.0,2.0,0.0,0.0,1.0,0.0
8,Buzzfeed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,left_center_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,3062.0,4197.0,somewhat disagree,,1.0,0.0,0.0,0.0,0.0,0.0
9,CBS News,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,4320.0,3857.0,somewhat agree,,,,,,,
10,CNBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Center,1320.0,3388.0,strongly disagree,,,,,,,
11,CNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,23421.0,24137.0,somewhat disagree,,0.0,0.0,1.0,0.0,0.0,0.0
12,CNS News,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,67.5,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,questionable_source,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,712.0,588.0,somewhat agree,right,,,,,,
13,Channel 4 UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Chicago Sun-Times,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.5,1.0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean Left,567.0,567.0,,,,,,,,
15,Conservative Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Conservative Tribune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Crooks and Liars,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,82.5,1.0,,,,,,,,,,,,,,,,,,,,,,left_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,,,,,,
18,Daily Beast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,left_bias,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,4427.0,3503.0,somewhat agree,,,,,,,
19,Daily Mail,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,questionable_source,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Right,990.0,885.0,somewhat agree,,0.0,0.0,1.0,0.0,0.0,0.0
20,Daily Signal,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,92.5,1.0,,,,,,,,,,,,1.0,,,,,,,,,,right_bias,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right,137.0,34.0,absolutely agree,right,,,,,,
21,Daily Stormer,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,questionable_source,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
